route|file|top|methods|mutating|auth_first|auth_line|auth_class|auth_all|permission_codes|admin_level|zod_import_line|validation|uuid_check_line|has_dynamic_segment|audit_first|audit_line|audit_all|supabase_client|bounding|unbounded_flag|n_select|n_from|n_eq|n_rpc|rate_limit_line|ui_callers|ui_caller_files|prefix_ui_callers|internal_api_callers|internal_files|test_callers|external_callers|external_files|orphan_status|lines|with_route|runtime|deprecated
/api/alfabot/inquiry|apps/host/src/app/api/alfabot/inquiry/route.ts|alfabot|POST|true|NONE||NONE||||0|validateBody@91|0|false|logAudit|268|logAudit@268|service-role|single(x1);maybeSingle(x1)||2|2|1|0|0|2|packages/lib/src/alfabot/client.ts(2),packages/lib/src/alfabot/types.ts(1)||0||1|2|supabase/functions/alfabot-send-inquiry/index.ts(1),scripts/route-access-manifest.json(1)|CALLED|363|false||false
/api/alfabot/lead|apps/host/src/app/api/alfabot/lead/route.ts|alfabot|POST|true|NONE||NONE||||0|NONE|0|false|logAudit|258|logAudit@258|service-role|single(x1);maybeSingle(x1)||2|3|2|0|0|1|packages/lib/src/alfabot/client.ts(2)||1|apps/host/src/app/api/alfabot/inquiry/route.ts(1)|1|1|scripts/route-access-manifest.json(1)|CALLED|276|false||false
/api/alfabot|apps/host/src/app/api/alfabot/route.ts|alfabot|POST|true|internal-caller-signing|457|SECRET|internal-caller-signing@457|||0|validateBody@204|0|false|logAudit|643|logAudit@643|service-role|limit(x1)@381;single(x1);maybeSingle(x2)||4|10|7|0|0|1|packages/lib/src/alfabot/client.ts(3)||0||1|3|scripts/audit-tenant-isolation.ts(1),scripts/gen-route-access-manifest.mjs(1),scripts/route-access-manifest.json(1)|CALLED|1126|false||false
/api/auth/bootstrap|apps/host/src/app/api/auth/bootstrap/route.ts|auth|POST|true|auth.getUser|91|SESSION|createSupabaseServerClient(RLS)@90;auth.getUser@91|||0|NONE|0|false|logIdentityEvent|451|logIdentityEvent@451|service-role+rls|NONE||2|4|2|1|152|6|apps/host/src/app/(student)/dashboard/StudentOSDashboard.tsx(1),packages/ui/src/auth/AuthScreen.tsx(2),packages/lib/src/AuthContext.tsx(2),packages/lib/src/identity/constants.ts(1)||0||8|4|supabase/migrations/20260610090100_bootstrap_link_code.sql(2),supabase/migrations/20260806000008_source_of_truth_matrix.sql(1),scripts/auth-guard.js(1),scripts/route-access-manifest.json(1)|CALLED|584|false||false
/api/auth/onboarding-status|apps/host/src/app/api/auth/onboarding-status/route.ts|auth|GET|false|auth.getUser|21|SESSION|createSupabaseServerClient(RLS)@17;auth.getUser@21|||0|NONE|0|false|NONE|||rls|NONE||0|0|0|0|0|2|packages/lib/src/identity/constants.ts(1),packages/lib/src/identity/onboarding.ts(2)||1|apps/host/src/app/api/auth/bootstrap/route.ts(2)|2|1|scripts/route-access-manifest.json(1)|CALLED|58|false||false
/api/auth/pre-check|apps/host/src/app/api/auth/pre-check/route.ts|auth|POST|true|NONE||NONE||||0|NONE|0|false|NONE|||none|NONE||0|0|0|0|57|1|packages/ui/src/auth/AuthScreen.tsx(2)||0||1|1|scripts/route-access-manifest.json(1)|CALLED|101|false||false
/api/auth/repair|apps/host/src/app/api/auth/repair/route.ts|auth|POST|true|authorizeRequest|21|RBAC|authorizeRequest@21|user.manage||0|NONE|0|false|logIdentityEvent|82|logIdentityEvent@82|service-role|NONE||0|0|0|1|0|1|packages/lib/src/identity/onboarding.ts(2)||0||1|2|supabase/migrations/20260816000010_admin_role_scope_out_role_manage.sql(2),scripts/route-access-manifest.json(1)|CALLED|100|false||false
/api/auth/session|apps/host/src/app/api/auth/session/route.ts|auth|DELETE,GET,POST|true|auth.getUser|54|SESSION|createSupabaseServerClient(RLS)@53;auth.getUser@54|||0|NONE|0|false|NONE|||service-role+rls|limit(x1)@290;single(x1);maybeSingle(x1)||4|11|10|0|100|2|apps/host/src/app/super-admin/_components/AdminShell.tsx(1),packages/lib/src/AuthContext.tsx(2)||0||1|1|scripts/route-access-manifest.json(1)|CALLED|304|false||false
/api/billing/coverage|apps/host/src/app/api/billing/coverage/route.ts|billing|GET|false|authorizeRequest|38|RBAC|authorizeRequest@38|payments.subscribe||0|NONE|0|false|NONE|||none|NONE||0|0|0|0|0|0|||0||1|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|82|false||false
/api/billing/tax-config|apps/host/src/app/api/billing/tax-config/route.ts|billing|GET|false|authorizeRequest|29|RBAC|authorizeRequest@29|payments.subscribe||5|zod@24|0|false|NONE|||service-role|limit(x1)@49;maybeSingle(x1)||1|1|2|0|0|0|||0||1|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|83|false||false
