path,tier,has_authz_check,test_file_match,verdict
auth/bootstrap,0,yes,yes,OK
auth/onboarding-status,0,yes,yes,OK
auth/repair,0,yes,yes,OK
auth/session,0,yes,yes,OK
cron/account-purge,0,yes,yes,OK
cron/adaptive-remediation,0,yes,yes,OK
cron/board-score,0,yes,no,GAP-tier0-no-test-coverage
cron/build-twin-snapshots,0,yes,no,GAP-tier0-no-test-coverage
cron/daily,0,yes,yes,OK
cron/daily-cron,0,yes,yes,OK
cron/evaluate-alerts,0,yes,no,GAP-tier0-no-test-coverage
cron/expired-subscriptions,0,yes,yes,OK
cron/foxy-quality-sample,0,yes,yes,OK
cron/goal-daily-plan-reminder,0,yes,yes,OK
cron/irt-calibrate,0,yes,yes,OK
cron/payments-health,0,yes,no,GAP-tier0-no-test-coverage
cron/pre-debit-notice,0,yes,yes,OK
cron/reconcile-payments,0,yes,yes,OK
cron/reverify-domains,0,yes,yes,OK
cron/school-operations,0,yes,no,GAP-tier0-no-test-coverage
cron/streak-guardian,0,yes,yes,OK
exam/chapters,0,yes,yes,OK
exams/papers/[id]/submit,0,yes,yes,OK
internal/cron/fix-failed-questions,0,yes,yes,OK
payments/cancel,0,yes,yes,OK
payments/create-order,0,yes,yes,OK
payments/setup-plans,0,yes,yes,OK
payments/status,0,yes,yes,OK
payments/subscribe,0,yes,yes,OK
payments/verify,0,yes,yes,OK
payments/webhook,0,yes,yes,OK
quiz,0,yes,yes,OK
quiz/ncert-questions,0,yes,no,GAP-tier0-no-test-coverage
quiz/submit,0,yes,yes,OK
school-admin/data-export,0,yes,yes,OK
school-admin/rbac,0,yes,yes,OK
super-admin/alfabot/denylist,0,yes,yes,OK
super-admin/oauth-apps,0,yes,yes,OK
super-admin/projectors/replay,0,yes,yes,OK
super-admin/rbac,0,yes,yes,OK
super-admin/subscribers/[name]/dead-letters/[event_id]/retry,0,yes,yes,OK
v2/quiz/questions,0,yes,yes,OK
v2/quiz/start,0,yes,yes,OK
v2/quiz/submit,0,yes,yes,OK
diagnostic/complete,1,yes,yes,OK
diagnostic/start,1,yes,yes,OK
dive/artifact,1,yes,no,OK
dive/history,1,yes,yes,OK
dive/start,1,yes,yes,OK
dive/state,1,yes,yes,OK
exams/papers,1,yes,yes,OK
exams/papers/[id],1,yes,no,OK
exams/sync-mastery,1,yes,no,OK
foxy/feedback,1,yes,yes,OK
foxy/learning-action,1,yes,yes,OK
foxy/quiz-answer,1,yes,yes,OK
foxy/remediation,1,yes,yes,OK
foxy/suggest-prompts,1,yes,yes,OK
learn/remediation,1,yes,yes,OK
learner/cards/create,1,yes,yes,OK
learner/lesson/progress,1,yes,yes,OK
learner/next,1,yes,yes,OK
learner/queue-from-scan,1,yes,yes,OK
learner/review/grade,1,yes,yes,OK
learner/revise-stack,1,yes,yes,OK
learner/scheduled,1,yes,yes,OK
learner/weak-topics,1,yes,yes,OK
notifications/whatsapp,1,yes,yes,OK
parent/accept-invite,1,yes,yes,OK
parent/approve-link,1,yes,yes,OK
parent/billing,1,yes,yes,OK
parent/calendar,1,yes,yes,OK
parent/children/[student_id]/chat,1,yes,yes,OK
parent/children/[student_id]/erasure-status,1,yes,no,OK
parent/children/[student_id]/export,1,yes,yes,OK
parent/children/[student_id]/request-erasure,1,yes,no,OK
parent/consent,1,yes,yes,OK
parent/link-code/redeem,1,yes,no,OK
parent/link-code/request-otp,1,yes,no,OK
parent/messages,1,yes,no,OK
parent/messages/threads,1,yes,no,OK
parent/messages/threads/[id]/messages,1,yes,no,OK
parent/notifications,1,yes,yes,OK
parent/notifications/[id]/read,1,yes,yes,OK
parent/notifications/mark-all-read,1,yes,no,OK
parent/profile,1,yes,yes,OK
parent/report,1,yes,yes,OK
pulse/class/[classId],1,yes,no,OK
pulse/me,1,yes,yes,OK
pulse/school,1,yes,yes,OK
pulse/student/[id],1,yes,no,OK
rhythm/remediation/[id]/resolve,1,yes,yes,OK
rhythm/today,1,yes,yes,OK
school-admin/ai-assistant,1,yes,no,OK
school-admin/analytics,1,yes,yes,OK
school-admin/announcements,1,yes,no,OK
school-admin/api-keys,1,yes,no,OK
school-admin/audit-log,1,yes,yes,OK
school-admin/branding,1,yes,yes,OK
school-admin/classes,1,yes,yes,OK
school-admin/classes-at-risk,1,yes,no,OK
school-admin/classes/[classId],1,yes,no,OK
school-admin/classes/bulk-create,1,yes,yes,OK
school-admin/classes/enrollments,1,yes,yes,OK
school-admin/content,1,yes,yes,OK
school-admin/content/bulk,1,yes,yes,OK
school-admin/contracts,1,yes,yes,OK
school-admin/exams,1,yes,yes,OK
school-admin/gst-details,1,yes,yes,OK
school-admin/integrations/install,1,yes,no,OK
school-admin/integrations/uninstall,1,yes,no,OK
school-admin/invite-codes,1,yes,no,OK
school-admin/invoices,1,yes,yes,OK
school-admin/modules,1,yes,yes,OK
school-admin/overview,1,yes,no,OK
school-admin/parents,1,yes,yes,OK
school-admin/reports,1,yes,yes,OK
school-admin/reports/bloom,1,yes,yes,OK
school-admin/reports/export,1,yes,yes,OK
school-admin/reports/mastery,1,yes,yes,OK
school-admin/roster/validate,1,yes,yes,OK
school-admin/staff,1,yes,yes,OK
school-admin/students,1,yes,yes,OK
school-admin/students/bulk-import,1,yes,yes,OK
school-admin/subscription,1,yes,yes,OK
school-admin/teacher-engagement,1,yes,no,OK
school-admin/teachers,1,yes,yes,OK
school-admin/teachers/bulk-import,1,yes,yes,OK
school-admin/tenant-config,1,yes,yes,OK
school-admin/webhooks,1,yes,yes,OK
state/decisions,1,yes,no,OK
student/chapters,1,yes,yes,OK
student/daily-lab,1,yes,yes,OK
student/daily-lab/claim,1,yes,yes,OK
student/daily-plan,1,yes,yes,OK
student/exam-simulation,1,yes,no,OK
student/foxy-interaction,1,yes,no,OK
student/grade-conclusion,1,yes,yes,OK
student/preferences,1,yes,no,OK
student/profile,1,yes,yes,OK
student/scan-upload,1,yes,no,OK
student/shop/purchase,1,yes,yes,OK
student/stem-observation,1,yes,no,OK
student/study-plan,1,yes,no,OK
student/subjects,1,yes,yes,OK
students/[id]/invite-guardian,1,yes,yes,OK
synthesis/parent-share,1,yes,no,OK
synthesis/state,1,yes,yes,OK
teacher/assignments,1,yes,no,OK
teacher/classes,1,yes,yes,OK
teacher/classes/[id],1,yes,no,OK
teacher/classes/[id]/archive,1,yes,no,OK
teacher/classes/available,1,yes,yes,OK
teacher/join-class,1,yes,yes,OK
teacher/lab-leaderboard,1,yes,no,OK
teacher/messages,1,yes,no,OK
teacher/messages/threads,1,yes,no,OK
teacher/messages/threads/[id]/messages,1,yes,no,OK
teacher/modules,1,yes,yes,OK
teacher/parent-notify,1,yes,yes,OK
teacher/profile,1,yes,yes,OK
teacher/remediation,1,yes,yes,OK
teacher/students/[id]/notes,1,yes,yes,OK
teacher/subjects,1,yes,yes,OK
tutor/answer,1,yes,yes,OK
tutor/next,1,yes,yes,OK
v1/account/delete,1,yes,yes,OK
v1/chapter-readiness,1,yes,yes,OK
v1/child/[id]/progress,1,yes,yes,OK
v1/child/[id]/report,1,yes,yes,OK
v1/class/[id]/analytics,1,yes,yes,OK
v1/exam/create,1,yes,yes,OK
v1/health,1,no,yes,OK-public-by-design
v1/leaderboard,1,yes,yes,OK
v1/leaderboard/class/[classId],1,yes,no,OK
v1/leaderboard/mastery,1,yes,yes,OK
v1/performance,1,yes,yes,OK
v1/school/reports,1,yes,yes,OK
v1/school/students,1,yes,yes,OK
v1/study-plan,1,yes,no,OK
v1/subject-readiness,1,yes,yes,OK
v1/upload-assignment,1,yes,no,OK
v2/learn/concept,1,yes,yes,OK
v2/learn/curriculum,1,yes,yes,OK
v2/parent/children,1,yes,yes,OK
v2/parent/encourage,1,yes,yes,OK
v2/parent/glance,1,yes,yes,OK
